1、 1/4-0
2、 (0÷3)+0
3、 0+2
4、 (0×2'1/4-0+3)
5、 (2'2/4×0)÷1
6、 3'1/2÷3'2/3+1/3
7、 3'1/3÷3+1×1
8、 (0×3'1/4)-1'1/3
9、 0×(2÷4'1/2)×3
10、 0÷2'1/4×0
11、 4'2/4-2'1/4÷4'2/3+0
12、 1÷3×0
13、 3+0×(3/4×2)
14、 4'1/2÷(1÷3'1/4)
15、 0-0÷4'1/2÷3'1/2
16、 2'2/3-2'1/2
17、 0-(0÷1)
18、 4+0+(3-1'1/2)
19、 3-1'1/4
20、 (0÷(3'1/4+4+1'1/3))
21、 1-0
22、 2'3/4×0
23、 (0÷1'1/3)+2/3+4'2/3
24、 (1'2/4+4)×(2'3/4÷4)
25、 2/3+(4'1/2-2'1/2)
26、 (0+1)+2'1/2
27、 1'2/4+1
28、 3'1/3÷3
29、 1'2/4×0×4'2/4
30、 1/2×3×2+4'1/4
31、 2/3×(3÷1'1/2-0)
32、 2'1/3-(1+2)
33、 3÷2+3÷2
34、 3'1/3÷(3'1/2+0÷4)
35、 (3+2'1/4×3)×3'2/4
36、 (0-0+0+2)
37、 1/3-0
38、 1-2/4
39、 0÷2'1/2
40、 0-0
41、 4×1'1/4×3
42、 (0-2/3)×0
43、 0+4÷3×1'1/2
44、 (4'2/4×0÷1)+1'1/4
45、 2+4
46、 1'1/2+0
47、 0+0
48、 2×3
49、 3×2
50、 (1×4-0)-0
51、 2'2/3-2
52、 (1/3+(2+1)+0)
53、 (0-1/3)×1
54、 (3×1/2×3×4'2/3)
55、 2-1×0
56、 2'1/2×3-0
57、 3'1/2-(0-0)
58、 0+(3'2/3-0)×2
59、 3+3+4
60、 3+3×0
61、 3'2/3×(0÷1×0)
62、 1-(0×3)
63、 (1'1/4÷1)×0
64、 0÷2×0
65、 0÷4'1/2
66、 2'2/3+0÷2'2/3
67、 0+0
68、 (2×3'1/2)-2'2/3
69、 2÷1'1/2
70、 2×(4'1/4+0-0)
71、 (3'2/4×0×(3×2))
72、 3+((1×2)-1'1/2)
73、 (0-0)-3/4
74、 2÷1
75、 (1'1/2-(0-0)÷3'1/2)
76、 0+0
77、 4'1/3÷4'3/4÷(3-1'2/4)
78、 3÷4'1/3
79、 (0-1/3)+2'1/2
80、 3/4-2/4
81、 4'1/2×0
82、 0÷4
83、 3'1/2+2'3/4×2-3/4
84、 1÷3'1/2
85、 2'2/3÷(1+1/2)×3
86、 1÷3'2/4
87、 2'3/4×4'2/4
88、 0÷4
89、 1'1/3÷2
90、 (4'2/3-(1/2÷2-0))
91、 4×0
92、 1'1/2+1'1/2×1'2/3
93、 3'3/4÷3
94、 4×4×2
95、 2'2/3×3'3/4÷2'1/4
96、 3÷2
97、 (2÷2'1/3)+1/4
98、 0÷1+1
99、 1'1/2+1-1'2/3
100、 2'1/3÷(2÷3×4'1/3)
